Kanji#Reading#JLPT#Type#Meaning
['あの人']#[['あのひと']]#5#['&pn;']#['he', 'she', 'that person']
['休戚']#[['きゅうせき']]#5#['&n;']#['weal and woe', 'joys and sorrows', 'welfare']
['休電日']#[['きゅうでんび']]#5#['&n;']#['no-electricity day']
['休日']#[['きゅうじつ']]#5#['&n;']#['holiday', 'day off']
['男気']#[['おとこぎ'], ['きょうき']]#5#['&n;']#['chivalrous spirit', 'chivalry']
['侠女']#[['きょうじょ']]#5#['&n;']#['gallant woman']
['金']#[['かね'], ['かな']]#5#['&n;']#['money']
['金']#[['きん']]#5#['&n;']#['gold (metal)']
['金メダル']#[['きんメダル']]#5#['&n;']#['gold medal']
['金柑']#[['きんかん'], ['キンカン']]#5#['&n;']#['kumquat (Fortunella spp.)', 'cumquat']
['金魚']#[['きんぎょ'], ['キンギョ']]#5#['&n;']#['goldfish (Carassius auratus)']
['金高']#[['きんだか']]#5#['&n;']#['sum']
['金入れ']#[['かねいれ']]#5#['&n;']#['purse', 'wallet', 'billfold']
['金づる']#[['かねづる']]#5#['&n;']#['source of revenue', 'financial supporter']
['金木犀']#[['きんもくせい'], ['キンモクセイ']]#5#['&n;']#['fragrant olive (Osmanthus fragrans var. aurantiacus)']
['九つ']#[['ここのつ']]#5#['&num;']#['nine']
['九九']#[['くく']]#5#['&n;']#['multiplication table', 'times table']
['９月']#[['くがつ']]#5#['&n;']#['September']
['九天']#[['きゅうてん']]#5#['&n;']#['sky', 'heavens', 'palace']
['９日']#[['ここのか'], ['ここぬか']]#5#['&n;']#['9th day of the month']
['九分']#[['くぶ']]#5#['&n;']#['nine parts', 'nine percent', 'almost']
['空']#[['そら']]#5#['&n;']#['sky', 'the air', 'the heavens']
['空桶']#[['からおけ']]#5#['&n;']#['empty bucket']
['空間']#[['くうかん']]#5#['&n;']#['space', 'room', 'airspace']
['空気']#[['くうき']]#5#['&n;']#['air', 'atmosphere']
['空言']#[['そらごと'], ['くうげん'], ['むなこと']]#5#['&n;']#['falsehood', 'lie']
['空行']#[['くうぎょう']]#5#['&n;']#['blank line']
['空車']#[['くうしゃ'], ['からぐるま']]#5#['&n;']#['empty conveyance', 'empty taxi', 'free taxi']
['空手']#[['からて']]#5#['&n;']#['karate']
['空中']#[['くうちゅう']]#5#['&n;']#['sky', 'air', 'mid-air']
['空白']#[['くうはく']]#5#['&n;']#['blank space (in documents)']
['空母']#[['くうぼ']]#5#['&n;']#['aircraft carrier']
['空名']#[['くうめい']]#5#['&n;']#['empty name', 'false reputation']
['隙間']#[['すきま']]#5#['&n;']#['crevice', 'crack', 'gap', 'opening', 'clearance']
['月']#[['つき']]#5#['&n;']#['moon']
['月とスッポン']#[['つきとスッポン'], ['つきとすっぽん']]#5#['&exp;', '&n;']#['two things that superficially similar but completely different', 'night and day', 'chalk and cheese', {'_': 'the Moon and a turtle', '$': {'g_type': 'lit'}}]
['月ロケット']#[['つきロケット']]#5#['&n;']#['moon rocket']
['月見']#[['つきみ']]#5#['&n;']#['moon viewing (esp. during the eight month of the lunar calendar)']
['月食']#[['げっしょく']]#5#['&n;']#['lunar eclipse']
['月水金']#[['げっすいきん']]#5#['&n;']#['Mon-Wed-Fri']
['月日']#[['つきひ']]#5#['&n;']#['time', 'years', 'days', \"(one's) life\"]
['見せしめ']#[['みせしめ']]#5#['&n;']#['(making a) lesson (of)', '(setting an) example', 'warning']
['見頃']#[['みごろ']]#5#['&n;']#['best time to see']
['見出し']#[['みだし']]#5#['&n;']#['heading', 'headline', 'title', 'caption']
['見出し語']#[['みだしご']]#5#['&n;']#['headword (in a dictionary)', 'entry word']
['言い分']#[['いいぶん']]#5#['&n;']#[\"one's say\", \"one's point\"]
['言外']#[['げんがい']]#5#['&adj-no;', '&n;']#['unexpressed', 'unspoken', 'implied', 'implicit']
['言語']#[['げんご'], ['ごんご'], ['げんきょ']]#5#['&n;']#['language']
['言語学']#[['げんごがく']]#5#['&n;']#['linguistics']
['言行']#[['げんこう']]#5#['&n;']#['speech and behaviour (behavior)']
['古']#[['いにしえ']]#5#['&n;']#['antiquity', 'ancient times']
['古']#[['ふる']]#5#['&n;']#['used item', 'secondhand item']
['古学']#[['こがく']]#5#['&n;']#['classical studies']
['古狐']#[['ふるきつね'], ['ふるぎつね']]#5#['&n;']#['old fox', 'old-timer', 'schemer']
['古語']#[['こご']]#5#['&n;']#['archaic word', 'obsolete word', 'archaism']
['古今東西']#[['ここんとうざい']]#5#['&n;']#['all times and places', 'all ages and countries']
['古書']#[['こしょ']]#5#['&n;']#['old book', 'rare book', 'classic']
['古人']#[['こじん']]#5#['&n;']#['ancient people']
['古狸']#[['ふるだぬき']]#5#['&n;']#['old badger', 'veteran', 'oldtimer', 'schemer', 'old fox']
['古道']#[['こどう'], ['ふるみち']]#5#['&n;']#['old road', 'ancient road']
['古廟']#[['こびょう']]#5#['&n;']#['old shrine']
['古木']#[['こぼく'], ['ふるき']]#5#['&n;']#['old tree']
['古刹']#[['こさつ']]#5#['&n;']#['ancient temple']
['古祠']#[['こし']]#5#['&n;']#['old small shrine']
['狐火']#[['きつねび']]#5#['&n;']#['pale fiery light seen in the fields and mountains at night', \"will-o'-the-wisp\"]
['糊口']#[['ここう']]#5#['&n;']#['bare livelihood', 'subsistence']
['五']#[['ご'], ['いつ'], ['い']]#5#['&num;']#['five', '5']
['五つ']#[['いつつ']]#5#['&num;']#['five']
['五つ子']#[['いつつご']]#5#['&n;']#['quintuplets']
['五桁']#[['ごけた']]#5#['&n;']#['five-digit number', '\"ten thousands\" column']
['５月']#[['ごがつ']]#5#['&n;']#['May']
['五月闇']#[['さつきやみ']]#5#['&n;']#['dark night in the rainy season']
['五行']#[['ごぎょう']]#5#['&n;']#['the five elements (in Chinese philosophy: wood, fire, earth, metal and water)', 'the five phases', 'wu xing']
['五書']#[['ごしょ']]#5#['&n;']#['Pentateuch']
['五人囃子']#[['ごにんばやし']]#5#['&n;']#[\"five court-musician dolls at the Girl's Festival (in March)\"]
['五大国']#[['ごだいこく']]#5#['&n;']#['the Five Powers']
['５日']#[['いつか']]#5#['&n;']#['5th day of the month']
['五分']#[['ごぶ']]#5#['&adv;', '&n;']#['half', '50%', 'tie', 'evenness']
['五目']#[['ごもく']]#5#['&n;']#['mixture of ingredients (originally five)']
['五芒']#[['ごぼう']]#5#['&n;']#['pentagram']
['午']#[['うま']]#5#['&n;']#['the Horse (seventh sign of the Chinese zodiac)']
['午後中']#[['ごごじゅう']]#5#['&n;']#['throughout the afternoon']
['午餐会']#[['ごさんかい']]#5#['&n;']#['luncheon party']
['午前中']#[['ごぜんちゅう']]#5#['&n;']#['in the morning', 'during the morning']
['午年']#[['うまどし']]#5#['&n;']#['year of the Horse']
['後ろ足']#[['うしろあし']]#5#['&n;']#['hind foot', 'hind-legs']
['後学']#[['こうがく']]#5#['&n;']#['younger scholar']
['後釜']#[['あとがま']]#5#['&n;']#['successor', 'replacement']
['後金']#[['あときん']]#5#['&n;']#['rest of the payment']
['後手']#[['ごて']]#5#['&n;']#['losing initiative', 'being forestalled']
['後書き']#[['あとがき']]#5#['&n;']#['afterword', 'postscript']
['後塵']#[['こうじん']]#5#['&n;']#['trailing dust', 'dust left by someone running ahead']
['後生']#[['ごしょう']]#5#['&n;']#['afterlife']
['後先']#[['あとさき']]#5#['&n;']#['front and rear', 'before and after', 'both ends', 'beginning and end']
['後ほど']#[['のちほど']]#5#['&adv;', '&n;']#['later on', 'eventually', 'afterwards']
['後半']#[['こうはん']]#5#['&n;']#['second half', 'latter half']
['後半生']#[['こうはんせい']]#5#['&n;']#[\"latter half of one's life\"]
['後裔']#[['こうえい']]#5#['&n;']#['descendant', 'scion']
['おとぎ話']#[['おとぎばなし']]#5#['&n;']#['fairy tale', 'fairy story', 'nursery tale']
['お出で']#[['おいで']]#5#['&n;']#['coming', 'going', 'being (somewhere)']
['語']#[['ご']]#5#['&n;', '&n-suf;', '&ctr;']#['word']
['語り']#[['かたり']]#5#['&n;']#['talk', 'recital']
['語り口']#[['かたりくち']]#5#['&n;']#['way of reciting', 'way of telling a story']
['語り手']#[['かたりて']]#5#['&n;']#['narrator', 'storyteller', 'reciter']
['語学']#[['ごがく']]#5#['&n;']#['study of foreign languages']
['語気']#[['ごき']]#5#['&n;']#['tone', 'manner of speaking']
['語長']#[['ごちょう']]#5#['&n;']#['word-length', 'word size']
['語彙']#[['ごい']]#5#['&n;']#['vocabulary', 'lexicon', 'lexis', 'terminology']
['乞食']#[['こじき'], ['こつじき']]#5#['&n;']#['beggar']
['口']#[['くち']]#5#['&n;']#['mouth']
['口あんぐり']#[['くちあんぐり']]#5#['&n;']#['dumbfounded', 'open-mouthed']
['口コミ']#[['くちコミ'], ['クチコミ']]#5#['&n;']#['word of mouth']
['口下手']#[['くちべた']]#5#['&adj-na;', '&n;']#['inarticulate', 'clumsy with words', 'poor at speaking']
['口火']#[['くちび']]#5#['&n;']#['fuse', 'pilot light']
['口どけ']#[['くちどけ']]#5#['&n;']#['melt-in-the-mouth feeling']
['口気']#[['こうき']]#5#['&n;']#['bad breath', 'intimation']
['口金']#[['くちがね']]#5#['&n;']#['(metal) cap']
['口語']#[['こうご']]#5#['&n;']#['spoken language', 'colloquial speech']
['口耳']#[['こうじ']]#5#['&n;']#['mouth and ear']
['口耳の学']#[['こうじのがく']]#5#['&n;']#['shallow learning']
['口車']#[['くちぐるま']]#5#['&n;']#['cajolery', 'wheedling']
['口小言']#[['くちこごと']]#5#['&n;']#['scolding', 'faultfinding']
['口上']#[['こうじょう']]#5#['&n;']#['vocal message', 'speech', 'statement']
['口拭き']#[['くちふき']]#5#['&n;']#['napkin']
['口ぶり']#[['くちぶり']]#5#['&n;']#['way of speaking']
['口先']#[['くちさき']]#5#['&n;']#['lip service', 'mere words', 'professions']
['口分け']#[['くちわけ']]#5#['&n;']#['assortment']
['口吻']#[['こうふん']]#5#['&n;']#['way of speaking', 'intimation']
['口脇']#[['くちわき']]#5#['&n;']#['edges of the mouth']
['校外']#[['こうがい']]#5#['&adj-no;', '&n;']#['out-of-school', 'off-campus']
['校長']#[['こうちょう']]#5#['&n;']#['principal', 'headmaster']
['校友']#[['こうゆう']]#5#['&n;']#['schoolmate', 'alumnus']
['行']#[['ぎょう']]#5#['&n;']#['line (of text)', 'row', 'verse']
['行き先']#[['いきさき'], ['ゆきさき']]#5#['&n;']#['destination']
['行く手']#[['ゆくて']]#5#['&n;']#[\"one's way\", \"one's path\"]
['行ベクトル']#[['ぎょうベクトル']]#5#['&n;']#['row vector']
['行火']#[['あんか']]#5#['&n;']#['bed warmer', 'foot warmer']
['行書']#[['ぎょうしょ']]#5#['&n;']#['semi-cursive style (of writing Chinese characters)', 'running style']
['高さ']#[['たかさ']]#5#['&n;']#['height', 'altitude', 'elevation', 'level']
['高み']#[['たかみ']]#5#['&n;']#['height', 'elevated place']
['高空']#[['こうくう'], ['たかぞら']]#5#['&n;']#['high altitude']
['高見']#[['こうけん']]#5#['&n;']#['your views', 'your opinion']
['高校']#[['こうこう']]#5#['&n;']#['senior high school', 'high school']
['高校生']#[['こうこうせい']]#5#['&n;']#['senior high school student']
['高分子']#[['こうぶんし']]#5#['&n;']#['macromolecule', 'high polymer']
['劫火']#[['ごうか'], ['こうか']]#5#['&n;']#['world-destroying conflagration']
['国花']#[['こっか']]#5#['&n;']#['national flower']
['国会']#[['こっかい']]#5#['&n;']#['National Diet', {'_': 'legislative assembly of Japan (1947-)', '$': {'g_type': 'expl'}}]
['国外']#[['こくがい']]#5#['&n;']#['outside the country', 'abroad']
['国語']#[['こくご']]#5#['&n;']#['national language']
['国手']#[['こくしゅ']]#5#['&n;']#['skilled physician', 'noted doctor', 'master']
['国書']#[['こくしょ']]#5#['&n;']#['diplomatic message sent by a head of state', 'sovereign letter']
['国大']#[['こくだい']]#5#['&n;']#['national university']
['国電']#[['こくでん']]#5#['&n;']#['city electric train service operated by (former) Japanese National Railways']
['国土']#[['こくど'], ['くにつち']]#5#['&n;']#['country', 'territory', 'domain', 'realm']
['国道']#[['こくどう']]#5#['&n;']#['national highway']
['国名']#[['こくめい']]#5#['&n;']#['country name']
['国立大学']#[['こくりつだいがく']]#5#['&n;']#['national university']
['今月分']#[['こんげつぶん']]#5#['&n;']#['(charge) for this month']
['今古']#[['きんこ']]#5#['&n;']#['now and anciently']
['今出来']#[['いまでき']]#5#['&n;']#['something new (of poor quality)']
['今上']#[['きんじょう']]#5#['&n;']#['His Majesty the Emperor', 'the present emperor', 'the reigning emperor']
['今人']#[['こんじん']]#5#['&n;']#['present-day people', 'people of this world']
['今生']#[['こんじょう']]#5#['&n;']#['this life', 'this world']
['今ほど']#[['いまほど']]#5#['&n;']#['recently', 'a moment before']
['今日は']#[['こんにちは']]#5#['&int;']#['hello', 'good day', 'good afternoon']
['左下']#[['ひだりした']]#5#['&n;']#['lower left']
['左手']#[['ひだりて']]#5#['&n;']#['left hand']
['左前']#[['ひだりまえ']]#5#['&n;']#['wearing a kimono with the right side over the left (normally used only for the dead)']
['左足']#[['ひだりあし'], ['さそく']]#5#['&n;']#['left foot']
['左目']#[['ひだりめ']]#5#['&n;']#['left eye']
['五月']#[['さつき']]#5#['&n;']#['fifth month of the lunar calendar']
['三つ']#[['みっつ'], ['みつ']]#5#['&num;']#['three']
['三つ子']#[['みつご']]#5#['&n;']#['three-year-old']
['三つ揃い']#[['みつぞろい']]#5#['&n;']#['three-piece suit']
['三つ半']#[['みつばん']]#5#['&n;']#['three-stroke alarm']
['三が日']#[['さんがにち']]#5#['&n;']#['first three days of the New Year (January 1-3)']
['三竿']#[['さんかん']]#5#['&n;']#['broad daylight']
['三韓']#[['さんかん']]#5#['&n;']#['the three Han nations (of ancient Korea)']
['三桁']#[['さんけた'], ['みけた']]#5#['&n;']#['three-digit number', 'hundreds column']
['３月']#[['さんがつ']]#5#['&n;']#['March']
['三月']#[['みつき']]#5#['&n;']#['three months']
['三股']#[['さんまた']]#5#['&n;']#['forked stick']
['三校']#[['さんこう']]#5#['&n;']#['third proof']
['三行半']#[['さんぎょうはん']]#5#['&n;']#['three and a half lines']
['三行半']#[['みくだりはん']]#5#['&n;']#['letter of divorce']
['三国']#[['さんごく']]#5#['&n;']#['three countries']
['三国一']#[['さんごくいち']]#5#['&n;']#['unparalleled in Japan and China and India']
['３０日']#[['さんじゅうにち']]#5#['&n;']#['30th day of the month']
['三女']#[['さんじょ']]#5#['&n;']#['third daughter']
['三食']#[['さんしょく']]#5#['&n;']#['three meals (a day)']
['三人']#[['さんにん'], ['みたり']]#5#['&n;']#['three people']
['三大国']#[['さんだいこく']]#5#['&n;']#['the Big Three (countries)']
['三男']#[['さんなん']]#5#['&n;']#['three sons']
['３日']#[['みっか']]#5#['&n;']#['3rd day of the month']
['三日月']#[['みかづき'], ['みかずき']]#5#['&n;']#['new moon', 'crescent moon']
['三日天下']#[['みっかてんか'], ['みっかでんか']]#5#['&n;']#['short-lived rule', 'being in power only for a brief period', 'brief championship']
['三分搗']#[['さんぶつき']]#5#['&n;']#['30% polished rice']
['三本']#[['さんぼん']]#5#['&n;']#['three (long cylindrical things)']
['三本足']#[['さんぼんあし']]#5#['&n;']#['three legs (two legs and a cane)']
['三昧']#[['さんまい'], ['ざんまい']]#5#['&n;']#['samadhi (state of intense concentration achieved through meditation)']
['三椏']#[['みつまた'], ['ミツマタ']]#5#['&n;']#['Oriental paper bush (Edgeworthia chrysantha)', 'mitsumata']
['山車']#[['だし'], ['さんしゃ']]#5#['&n;']#['parade float', 'festival float']
['山出し']#[['やまだし']]#5#['&n;']#['bumpkin', 'person from the country', 'unrefined person recently arrived from the countryside']
['山女']#[['やまめ'], ['ヤマメ']]#5#['&n;']#['landlocked masu salmon (Oncorhynchus masou masou)']
['山上']#[['さんじょう']]#5#['&n;']#['mountain top']
['山水']#[['さんすい'], ['やまみず']]#5#['&n;']#['mountain and water', 'landscape (containing hills and rivers)']
['山川']#[['さんせん'], ['やまかわ']]#5#['&n;']#['mountains and rivers']
['山中']#[['さんちゅう'], ['やまなか']]#5#['&n;']#['in the mountains', 'among the mountains']
['山道']#[['やまみち'], ['さんどう'], ['せんどう']]#5#['&n;']#['mountain road', 'mountain trail']
['山椒']#[['さんしょう'], ['さんしょ'], ['サンショウ']]#5#['&n;']#['Japanese pepper (species of Sichuan pepper, Zanthoxylum piperitum)', 'Japanese prickly ash']
['山椒魚']#[['さんしょううお'], ['サンショウウオ']]#5#['&n;']#['salamander (amphibian of the order Caudata)']
['斬新']#[['ざんしん']]#5#['&adj-na;', '&n;']#['novel', 'original', 'new', 'innovative']
['四つ']#[['よっつ'], ['よつ']]#5#['&num;']#['four', '4']
['四つん這い']#[['よつんばい'], ['よっつんばい']]#5#['&n;']#['crawling on all fours', \"getting on one's hands and knees\", 'falling flat']
['四つ足']#[['よつあし']]#5#['&n;']#['four-footed (animal)']
['四桁']#[['よけた']]#5#['&n;']#['four-digit number', 'thousands column']
['４月']#[['しがつ']]#5#['&n;']#['April']
['四国']#[['しこく']]#5#['&n;']#['Shikoku (smallest of the four main islands of Japan)']
['４時']#[['よじ']]#5#['&n;']#[\"four o'clock\"]
['四十雀']#[['しじゅうから'], ['しじゅうがら'], ['シジュウカラ'], ['シジュウガラ']]#5#['&n;']#['Japanese tit (Parus minor)', 'Oriental tit']
['四川']#[['しせん'], ['スーチョワン']]#5#['&n;']#['Sichuan (China)', 'Szechuan', 'Szechwan']
['４日']#[['よっか']]#5#['&n;']#['4th day of the month']
['四六時中']#[['しろくじちゅう']]#5#['&adv;', '&n;']#['around the clock', 'day and night']
