Kanji#Reading#JLPT#Type#Meaning
['〃']#[['おなじ'], ['おなじく']]#100#['&n;']#['ditto mark']
['雀斑']#[['そばかす'], ['ソバカス']]#100#['&n;']#['freckles']
['スズメ蜂']#[['スズメばち'], ['すずめばち'], ['スズメバチ']]#100#['&n;']#['hornet', 'yellow jacket', 'wasp (of subfamily Vespinae)']
['裾']#[['すそ']]#100#['&n;']#['hem', '(trouser) cuff', 'shirttail', 'bottom (of a kimono)', 'train (of a dress)']
['凄み']#[['すごみ']]#100#['&n;']#['ghastliness', 'dreadfulness', 'grimness', 'weirdness']
['蝉']#[['せみ'], ['せび'], ['セミ']]#100#['&n;']#['cicada', 'locust']
['卜']#[['うら']]#100#['&n;']#['fortune-telling', 'divination']
['尖んがり']#[['とんがり']]#100#['&n;', '&n-pref;']#['(sharp) point']
['煎鍋']#[['いりなべ']]#100#['&n;']#['roasting pan']
['煎餅']#[['せんべい']]#100#['&n;']#['rice cracker', 'senbei', 'Japanese cracker', 'rice cookie', 'wafer']
['煽て']#[['おだて']]#100#['&n;']#['instigation', 'flattery']
['煽り']#[['あおり']]#100#['&n;']#['gust (of wind)', 'blast']
['腺']#[['せん']]#100#['&n;', '&n-suf;']#['gland']
['閃き']#[['ひらめき']]#100#['&n;']#['flair', 'flash']
['膳']#[['ぜん']]#100#['&n;']#['small dining table (usu. for a single person)', 'serving tray (with legs)']
['糎']#[['サンチ']]#100#['&n;']#['centimeter (esp. of cannon caliber, etc.)']
['狙い']#[['ねらい']]#100#['&n;']#['aim']
['蘇り']#[['よみがえり']]#100#['&n;']#['resurrection', 'reviving', 'resuscitation', 'rehabilitation']
['鼠']#[['ねずみ'], ['ねず'], ['ネズミ']]#100#['&n;']#['mouse', 'rat']
['掻痒']#[['そうよう']]#100#['&n;']#['itch', 'pruritus']
['槍']#[['やり']]#100#['&n;']#['spear', 'lance']
['痩せっぽち']#[['やせっぽち']]#100#['&n;']#['skinny person', 'scrawny person', 'scarecrow', 'bag of bones']
['蛻']#[['もぬけ']]#100#['&n;']#['shed skin (of a snake, insect, etc.)', 'ecdysis']
['袖']#[['そで']]#100#['&n;']#['sleeve']
['其れでも']#[['それでも']]#100#['&conj;']#['but (still)', 'and yet', 'nevertheless', 'even so', 'notwithstanding']
['其れなら']#[['それなら']]#100#['&conj;']#[\"if that's the case ...\", 'if so ...', 'that being the case ...']
['舵']#[['かじ']]#100#['&n;']#['rudder', 'helm']
['苔']#[['こけ'], ['コケ']]#100#['&n;']#['moss']
['茸']#[['きのこ'], ['たけ'], ['キノコ']]#100#['&n;']#['mushroom']
['叩き']#[['たたき'], ['タタキ']]#100#['&n;']#['finely chopped fish or meat (sometimes seared first)', 'mince']
['狸']#[['たぬき'], ['タヌキ']]#100#['&n;']#['tanuki (Nyctereutes procyonoides)', 'raccoon dog']
['鱈']#[['たら'], ['タラ']]#100#['&n;']#['gadid (any fish of the family Gadidae, incl. cod, haddock, whiting and pollack)']
['誰']#[['だれ'], ['だあれ'], ['たれ'], ['た']]#100#['&pn;']#['who']
['誰か']#[['だれか']]#100#['&pn;']#['someone', 'somebody']
['誰でも']#[['だれでも']]#100#['&exp;', '&pn;']#['anyone', 'anybody', 'everyone', 'everybody', 'whoever']
['誰それ']#[['だれそれ']]#100#['&pn;']#['a certain someone', 'Mr So-and-so']
['箪笥']#[['たんす'], ['タンス']]#100#['&n;']#['chest of drawers', 'bureau', 'cabinet', 'tansu', 'dresser']
['弛み']#[['たるみ']]#100#['&n;']#['slack', 'slackening', 'sagginess', 'flabbiness (skin, etc.)']
['蜘蛛']#[['くも'], ['ちちゅ'], ['ちちゅう'], ['ちしゅ'], ['クモ']]#100#['&n;']#['spider']
['酎']#[['ちゅう']]#100#['&n;']#['shōchū']
['酎ハイ']#[['ちゅうハイ'], ['チューハイ'], ['チュウハイ']]#100#['&n;']#['shōchū highball', {'_': 'cocktail of shōchū with tonic water', '$': {'g_type': 'expl'}}]
['鰉']#[['ひがい'], ['ヒガイ']]#100#['&n;']#['Sarcocheillichthys variegatus (species of minnow)']
['辻褄']#[['つじつま']]#100#['&n;']#['coherence', 'consistency']
['鍔']#[['つば']]#100#['&n;']#['guard on sword, polearms, etc.', 'flange']
['壺']#[['つぼ'], ['ツボ'], ['つほ'], ['つふ']]#100#['&n;']#['pot', 'jar', 'vase']
['爪']#[['つめ']]#100#['&n;']#['nail (e.g. fingernail, toenail)', 'claw', 'talon', 'hoof']
['吊し']#[['つるし']]#100#['&n;']#['ready-made clothing', 'off-the-rack clothing', 'second-hand clothes', 'hand-me-down']
['諦め']#[['あきらめ']]#100#['&n;']#['resignation', 'acceptance', 'consolation']
['蹄']#[['ひづめ']]#100#['&n;']#['hoof']
['釘']#[['くぎ'], ['クギ']]#100#['&n;']#['nail', 'spike', 'tack', 'rivet', 'brad', '(pachinko) pin']
['鼎']#[['かなえ'], ['てい']]#100#['&n;']#['three-legged metal pot or kettle (used in ancient China)']
['轍']#[['わだち'], ['てつ']]#100#['&n;']#['rut', 'wheel track', 'furrow']
['纏まり']#[['まとまり']]#100#['&n;']#['unity', 'coherence', 'consistency', 'coordination']
['纏め']#[['まとめ']]#100#['&n;']#['settlement', 'conclusion', 'summary']
['兎']#[['うさぎ'], ['う'], ['ウサギ']]#100#['&n;']#['rabbit', 'hare', 'coney', 'cony', 'lagomorph (esp. leporids)']
['妬み']#[['ねたみ']]#100#['&n;']#['jealousy', 'envy']
['禿']#[['はげ'], ['ハゲ']]#100#['&n;']#['baldness', 'bald head']
['椴']#[['とど'], ['トド']]#100#['&n;']#['Sakhalin fir (Abies sachalinensis)']
['謎']#[['なぞ']]#100#['&n;']#['riddle', 'puzzle', 'enigma', 'mystery']
['鍋']#[['なべ']]#100#['&n;']#['saucepan', 'pot']
['樟']#[['くすのき'], ['くす'], ['クスノキ'], ['クス']]#100#['&n;']#['camphor tree (Cinnamomum camphora)', 'camphorwood', 'camphor laurel']
['２０']#[['にじゅう'], ['はた']]#100#['&num;']#['twenty', '20']
['賑やかさ']#[['にぎやかさ']]#100#['&n;']#['business', 'liveliness']
['賑わい']#[['にぎわい']]#100#['&n;']#['prosperity', 'bustle', 'activity', 'crowd', 'turnout']
['韮']#[['にら'], ['みら'], ['かみら'], ['ニラ']]#100#['&n;']#['garlic chives (Allium tuberosum)', 'Chinese chives', 'Chinese leek']
['韮葱']#[['にらねぎ']]#100#['&n;']#['broadleaf wild leek (edible plant with hard tubular leaves, Allium ampeloprasum)']
['葱']#[['ねぎ'], ['き'], ['ネギ']]#100#['&n;']#['Welsh onion (Allium fistulosum)', 'green onion', 'spring onion']
['捻じ桔梗']#[['ねじききょう']]#100#['&n;']#['Chinese bellflower (slightly screwed)']
['膿']#[['うみ'], ['のう']]#100#['&n;']#['pus']
['膿疱']#[['のうほう']]#100#['&n;']#['pustule', 'pustula']
['膿瘍']#[['のうよう']]#100#['&n;']#['boil', 'abscess']
['蚤']#[['のみ'], ['ノミ']]#100#['&n;']#['flea']
['煤']#[['すす'], ['スス']]#100#['&n;']#['soot']
['蠅']#[['はえ'], ['ハエ']]#100#['&n;']#['fly (any insect of infraorder Muscomorpha)']
['秤']#[['はかり']]#100#['&n;']#['scales', 'weighing machine']
['函蓋']#[['かんがい']]#100#['&n;']#['box and cover']
['函渠']#[['かんきょ']]#100#['&n;']#['drain with an oblong cross-section']
['箸']#[['はし']]#100#['&n;']#['chopsticks']
['蛤']#[['はまぐり'], ['ハマグリ']]#100#['&n;']#['common orient clam (Meretrix lusoria)']
['匪躬']#[['ひきゅう']]#100#['&n;']#['self-sacrificing service']
['樋']#[['とい'], ['ひ'], ['とよ'], ['とゆ']]#100#['&n;']#['trough', 'gutter', 'water pipe', 'flume', 'chute']
['枇杷']#[['びわ'], ['ビワ']]#100#['&n;']#['loquat (Eriobotrya japonica)', 'Japanese medlar']
['琵琶']#[['びわ']]#100#['&n;']#['biwa (Japanese lute)']
['髭剃り']#[['ひげそり']]#100#['&n;']#['shaving', 'shaver']
['膝']#[['ひざ'], ['ヒザ']]#100#['&n;']#['knee']
['肘']#[['ひじ'], ['ヒジ']]#100#['&n;']#['elbow']
['畢竟']#[['ひっきょう']]#100#['&adv;', '&n;']#['after all']
['紐']#[['ひも'], ['ヒモ']]#100#['&n;']#['string', 'cord']
['蛭']#[['ひる'], ['ヒル']]#100#['&n;']#['leech']
['鰭']#[['ひれ'], ['はた']]#100#['&n;']#['fin (e.g. of a fish)']
['甕']#[['かめ']]#100#['&n;']#['earthenware pot']
['斧']#[['おの']]#100#['&n;']#['axe', 'ax', 'hatchet']
['葡萄']#[['ぶどう'], ['ブドウ'], ['えび']]#100#['&n;']#['grape', 'grapevine']
['蕪']#[['かぶ'], ['かぶら'], ['かぶな'], ['かぶらな'], ['カブ'], ['カブラ']]#100#['&n;']#['turnip (Brassica rapa)']
['淵']#[['ふち']]#100#['&n;']#['deep pool', 'deep water', 'abyss']
['鮒']#[['ふな'], ['フナ']]#100#['&n;']#['crucian carp (Carassius spp.)']
['糞']#[['くそ'], ['クソ']]#100#['&int;']#['damn', 'damn it', 'shit', 'crap']
['糞溜']#[['くそだめ']]#100#['&n;']#['tank for holding excreta (often used for fertilizer) (fertiliser)', 'night soil vat or reservoir']
['僻陬']#[['へきすう']]#100#['&n;']#['remote place']
['箆']#[['へら'], ['ヘラ']]#100#['&n;']#['spatula']
['菩薩']#[['ぼさつ'], ['ぼさち']]#100#['&n;', '&n-suf;']#['bodhisattva', {'_': 'one who has reached enlightenment but vows to save all beings before becoming a buddha', '$': {'g_type': 'expl'}}]
['蓬']#[['よもぎ'], ['ヨモギ']]#100#['&n;']#['Japanese mugwort (Artemisia princeps)']
['蜂']#[['はち'], ['ハチ']]#100#['&n;']#['bee', 'wasp', 'hornet']
['蜂蜜']#[['はちみつ'], ['はつみつ'], ['ハチミツ']]#100#['&n;']#['honey']
['頬っぺ']#[['ほっぺ']]#100#['&n;']#['cheek']
['頬っぺた']#[['ほっぺた']]#100#['&n;']#['cheek']
['頬髭']#[['ほおひげ']]#100#['&n;']#['whiskers', 'sideburns', 'sideboards']
['卜']#[['ぼく']]#100#['&n;']#['divining', 'telling a fortune', 'predicting']
['卜筮']#[['ぼくぜい']]#100#['&n;']#['fortunetelling', 'divination']
['枕']#[['まくら']]#100#['&n;', '&n-suf;']#['pillow', 'bolster']
['鮪']#[['まぐろ'], ['しび'], ['マグロ']]#100#['&n;']#['tuna (edible fish, Thunnus spp.)', 'tunny']
['鱒']#[['ます'], ['マス']]#100#['&n;']#['trout', 'sea trout']
['蜜柑']#[['みかん'], ['ミカン']]#100#['&n;']#['mandarin (esp. the satsuma mandarin (Citrus unshiu))', 'mandarin orange', 'tangerine', 'clementine', 'satsuma']
['蜜蜂']#[['みつばち'], ['みちばち'], ['ミツバチ']]#100#['&n;']#['honeybee (Apis sp.)', 'honey bee']
['姪']#[['めい']]#100#['&n;']#['niece']
['牝鷄']#[['ひんけい']]#100#['&n;']#['hen']
['麺']#[['めん']]#100#['&n;']#['noodles']
['餅']#[['もち'], ['もちい'], ['かちん'], ['あも']]#100#['&n;']#['mochi', {'_': '(sticky) rice cake', '$': {'g_type': 'expl'}}]
['尤も']#[['もっとも']]#100#['&conj;']#['but then', 'although', 'though']
['籾']#[['もみ']]#100#['&n;']#['unhulled rice', 'rice in the husk', 'paddy']
['掠り']#[['かすり']]#100#['&n;']#['grazing', 'touching lightly']
['溜まり']#[['たまり']]#100#['&n;']#['pile', 'pool', 'collection']
['燐']#[['りん'], ['リン']]#100#['&n;']#['phosphorus (P)']
['鱗']#[['うろこ'], ['こけ'], ['こけら'], ['ウロコ']]#100#['&n;']#['scale (of fish, snake, etc.)']
['煉瓦']#[['れんが'], ['レンガ']]#100#['&n;']#['brick']
['簾']#[['すだれ'], ['す']]#100#['&n;']#['bamboo screen', 'rattan blind']
['櫓']#[['やぐら']]#100#['&n;']#['turret', 'watchtower']
['櫓']#[['ろ']]#100#['&n;']#['Japanese scull (oar attached to the rear of the boat by a traditional peg-in-hole oarlock)']
['弄り']#[['いじり']]#100#['&n;']#['meddling', 'fumbling', 'fondling', 'playing around with something']
['狼']#[['おおかみ'], ['おおかめ'], ['おいぬ'], ['オオカミ']]#100#['&n;']#['wolf (Canis lupus)']
['蝋']#[['ろう'], ['ロウ']]#100#['&n;']#['wax']
['蝋燭']#[['ろうそく'], ['ローソク'], ['ロウソク']]#100#['&n;']#['candle']
['肋']#[['あばら']]#100#['&n;']#['rib', 'rib cage']
['歪み']#[['ひずみ']]#100#['&n;']#['strain', 'deformation', 'warp', 'distortion']
['脇']#[['わき']]#100#['&n;']#['armpit', \"under one's arm\", 'side', 'flank']
['鷲']#[['わし'], ['ワシ']]#100#['&n;']#['eagle (Accipitridae family)']
['鰐']#[['わに'], ['ワニ']]#100#['&n;']#['crocodile', 'alligator']
['鰐鮫']#[['わにざめ']]#100#['&n;']#['ferocious shark']
['詫び']#[['わび']]#100#['&n;']#['apology', 'excuse']
['藁']#[['わら'], ['ワラ']]#100#['&n;']#['straw']
['藁葺き']#[['わらぶき']]#100#['&n;']#['straw-thatching', 'straw-thatched roof']
['藁苞']#[['わらづと']]#100#['&n;']#['straw wrapper']
['蕨']#[['わらび']]#100#['&n;']#['bracken']
['椀']#[['わん']]#100#['&n;']#['bowl (wooden)']
['碗']#[['わん']]#100#['&n;']#['bowl (ceramic, porcelain)']
['丼']#[['どんぶり'], ['どん']]#100#['&n;']#['porcelain bowl']
['丼もの']#[['どんぶりもの'], ['どんもの']]#100#['&n;']#['bowl of rice with food on top']
['仄めかし']#[['ほのめかし']]#100#['&n;']#['hint', 'intimation', 'suggestion', 'inkling']
['佩']#[['はい']]#100#['&n;']#['type of ancient oriental belt']
['俎']#[['そ']]#100#['&n;']#['altar of sacrifice']
['俚諺']#[['りげん']]#100#['&n;']#['proverb', 'saying']
['俥']#[['くるま']]#100#['&n;']#['rickshaw', 'jinrikisha']
['倨傲']#[['きょごう']]#100#['&adj-na;', '&n;']#['pride', 'arrogance']
['倥偬']#[['こうそう']]#100#['&n;']#['hurrying']
['俯きがち']#[['うつむきがち']]#100#['&n;']#['looking down']
['俯け']#[['うつむけ']]#100#['&n;']#['lying face down', 'upside down', 'prone']
['傅']#[['めのと'], ['ふ']]#100#['&n;']#['instructor', 'tutor (to a prince)']
['傲倨']#[['ごうきょ']]#100#['&n;']#['arrogance']
['僵屍']#[['キョンシー']]#100#['&n;']#['jiangshi', 'Chinese hopping vampire', {'_': 'reanimated corpse in Chinese legends and folklore', '$': {'g_type': 'expl'}}]
['兌']#[['だ']]#100#['&n;']#['dui (one of the trigrams of the I Ching: swamp, west)']
['冕']#[['べん']]#100#['&n;']#['benkan (type of square ceremonial crown)']
['冤']#[['えん']]#100#['&n;']#['false charge', 'false accusation']
['冤枉']#[['えんおう']]#100#['&n;']#['false charge']
['冪']#[['べき']]#100#['&n;']#['exponent', 'power']
['几']#[['おしまずき'], ['き']]#100#['&n;']#['armrest']
['刎頚']#[['ふんけい']]#100#['&n;']#['decapitation']
['剔']#[['てき']]#100#['&n;']#['cutting']
['剽悍']#[['ひょうかん']]#100#['&adj-na;', '&n;']#['fierceness', 'daring']
['劈']#[['へき']]#100#['&n;']#['break', 'tear', 'pierce', 'split', 'burst']
['匈']#[['きょう']]#100#['&n;']#['Hungary']
['卍']#[['まんじ']]#100#['&n;']#['swastika (esp. counterclockwise form as a Buddhist symbol)', 'fylfot', 'gammadion']
['厠']#[['かわや']]#100#['&n;']#['privy', 'toilet']
['呻き']#[['うめき']]#100#['&n;']#['moan', 'groan', 'groaning']
['啖呵']#[['たんか']]#100#['&n;']#['caustic words']
['唸り']#[['うなり']]#100#['&n;']#['groan', 'moan']
['喇叭']#[['らっぱ'], ['ラッパ']]#100#['&n;']#['trumpet', 'horn', 'bugle']
['喇嘛']#[['らま'], ['ラマ']]#100#['&n;']#['lama']
['嘴']#[['くちばし'], ['はし'], ['クチバシ']]#100#['&n;']#['beak', 'bill']
['囮']#[['おとり'], ['ばいちょう']]#100#['&n;']#['decoy (for hunting)', 'stool']
['坩堝']#[['るつぼ'], ['かんか']]#100#['&n;']#['crucible', 'melting pot']
['垓']#[['がい']]#100#['&num;']#['10^20', '100,000,000,000,000,000,000', 'hundred quintillion']
['埃']#[['ほこり'], ['ホコリ'], ['あい']]#100#['&n;']#['dust']
['塹壕']#[['ざんごう']]#100#['&n;']#['trench', 'dugout']
['奕']#[['えき']]#100#['&n;']#['playing the game of go']
['佞']#[['ねい']]#100#['&n;']#['flattery', 'insincerity']
['媚']#[['こび']]#100#['&n;']#['flattery', 'cajolery', 'flirtation']
['嬌羞']#[['きょうしゅう']]#100#['&n;']#['charming and coy']
['尨']#[['むく']]#100#['&n;']#['shaggy hair']
['尹']#[['いん']]#100#['&n;']#['director (of the ritsuryō-period Imperial Prosecuting and Investigating Office)']
['巫']#[['かんなぎ']]#100#['&n;']#['medium', 'diviner', 'shaman', 'oracle']
['帷幄']#[['いあく']]#100#['&n;']#['headquarters', 'general staff']
['慇懃']#[['いんぎん']]#100#['&adj-na;', '&n;']#['polite', 'courteous', 'civil']
['戌']#[['いぬ']]#100#['&n;']#['the Dog (eleventh sign of the Chinese zodiac)']
['捏ね']#[['つくね']]#100#['&n;']#['chicken or fish meatloaf made with egg']
['掏摸']#[['すり'], ['スリ']]#100#['&n;']#['pickpocket']
['掟']#[['おきて']]#100#['&n;']#['law', 'regulation', 'rule', 'code', 'agreement', 'arrangement', 'compact']
['揉め']#[['もめ']]#100#['&n;']#['quarrel', 'trouble', 'dispute']
['撥']#[['ばち']]#100#['&n;']#['plectrum', 'pick']
['攘夷']#[['じょうい']]#100#['&n;']#['expel the barbarians', 'expulsion of the foreigners', {'_': 'late Edo period (19th century) revolutionary slogan', '$': {'g_type': 'expl'}}]
['旁']#[['つくり']]#100#['&n;']#['right-hand radical of a character']
['暈し']#[['ぼかし']]#100#['&n;']#['shading off', 'gradation']
['曖昧']#[['あいまい']]#100#['&adj-na;', '&n;']#['vague', 'ambiguous', 'unclear']
['曖昧さ']#[['あいまいさ']]#100#['&n;']#['ambiguity']
['曰く']#[['いわく']]#100#['&n;']#['pretext', 'history', 'past', 'story']
['枷']#[['かせ']]#100#['&n;']#['shackles', 'fetters', 'irons', 'handcuffs', 'restraint', 'constraint']
['枸杞']#[['くこ'], ['クコ']]#100#['&n;']#['Chinese matrimony vine (Lycium chinense)', 'Chinese wolfberry', 'goji']
['檜']#[['ひのき'], ['ひ'], ['ヒノキ']]#100#['&n;']#['hinoki cypress (Chamaecyparis obtusa)', 'Japanese cypress']
['桎梏']#[['しっこく']]#100#['&n;']#['bonds', 'fetters']
['梟']#[['ふくろう'], ['ふくろ'], ['さけ'], ['フクロウ']]#100#['&n;']#['owl (esp. the Ural owl, Strix uralensis)']
['棘']#[['おどろ']]#100#['&adj-na;', '&n;']#['briars', 'thicket', 'the bush']
['棗']#[['なつめ'], ['ナツメ']]#100#['&n;']#['jujube (Ziziphus jujube)', 'Chinese date', 'red date']
['楔']#[['くさび']]#100#['&n;']#['wedge', 'chock', 'linchpin', 'lynchpin']
['椹']#[['さわら'], ['サワラ']]#100#['&n;']#['sawara cypress (Chamaecyparis pisifera)']
['樅']#[['もみ'], ['モミ']]#100#['&n;']#['Japanese fir (Abies firma)', 'momi fir']
['橙']#[['だいだい'], ['ダイダイ']]#100#['&n;']#['bitter orange (Citrus aurantium)', 'sour orange', 'Seville orange']
['檻']#[['おり']]#100#['&n;']#['cage', 'pen', '(jail) cell']
['殷賑']#[['いんしん']]#100#['&adj-na;', '&n;']#['prosperity']
['毫釐']#[['ごうり'], ['ごうりん']]#100#['&n;']#['very small quantity']
['涅槃']#[['ねはん']]#100#['&n;']#['nirvana', 'supreme enlightenment']
['滓']#[['かす'], ['カス']]#100#['&n;']#['dregs', 'sediment', 'grounds', 'meal']
['焙烙']#[['ほうろく'], ['ほうらく']]#100#['&n;']#['earthenware baking pan', 'parching pan']
['煌めき']#[['きらめき'], ['キラメキ']]#100#['&n;']#['glitter', 'glimmer', 'sparkle', 'twinkle']
['燠']#[['おき']]#100#['&n;']#['embers', 'live charcoal']
['狆']#[['ちん'], ['チン']]#100#['&n;']#['Japanese spaniel', 'Pekinese', 'chin']
['狡猾']#[['こうかつ']]#100#['&adj-na;', '&n;']#['sly', 'cunning', 'crafty']
['猥褻']#[['わいせつ'], ['ワイセツ']]#100#['&adj-na;', '&n;']#['obscene', 'indecent', 'dirty', 'improper']
['玳瑁']#[['たいまい'], ['タイマイ']]#100#['&n;']#['hawksbill turtle (Eretmochelys imbricata)']
['琺瑯']#[['ほうろう'], ['ホーロー'], ['ホウロウ']]#100#['&n;']#['enamel', 'enamelled metalware (sinks, pots, etc.)']
['瑕疵']#[['かし']]#100#['&n;']#['flaw', 'defect', 'fault']
['瑪瑙']#[['めのう']]#100#['&n;']#['agate']
['甦']#[['よみがえ']]#100#['&n;']#['resurrection']
['疣']#[['いぼ'], ['イボ']]#100#['&n;']#['wart']
['疱疹']#[['ほうしん']]#100#['&n;']#['herpes', 'blister']
['疱瘡']#[['ほうそう'], ['いもがさ'], ['いもかさ']]#100#['&n;']#['smallpox', 'variola']
['痰']#[['たん']]#100#['&n;']#['phlegm', 'sputum']
