Kanji#Reading#JLPT#Type#Meaning
['いじり回す']#[['いじりまわす']]#4#['&v5s;']#['to tinker with', 'to fumble with', 'to twist up']
['高低']#[['こうてい'], ['たかひく']]#4#['&n;', '&vs;']#['high and low', 'rise and fall']
['合う']#[['あう'], ['おう']]#4#['&v5u;', '&vi;']#['to come together', 'to merge', 'to unite', 'to meet']
['合する']#[['がっする']]#4#['&vs-s;']#['to join together', 'to sum up', 'to combine', 'to unite', 'to mix', 'to agree with']
['合わす']#[['あわす']]#4#['&v5s;', '&vt;']#['to match (rhythm, speed, etc.)']
['合わせる']#[['あわせる']]#4#['&v1;', '&vt;']#['to match (rhythm, speed, etc.)']
['合わせ行なう']#[['あわせおこなう']]#4#['&v5u;']#['to carry on together', 'to do at the same time']
['合意']#[['ごうい']]#4#['&n;', '&vs;', '&adj-no;']#['(coming to an) agreement', 'consent', 'mutual understanding', 'accord', 'consensus']
['合一']#[['ごういつ']]#4#['&n;', '&vs;']#['unification', 'union', 'oneness']
['合計']#[['ごうけい']]#4#['&n;', '&vs;']#['sum total', 'total amount']
['合作']#[['がっさく']]#4#['&n;', '&vs;', '&adj-no;']#['collaboration', 'joint work']
['合図']#[['あいず']]#4#['&n;', '&vs;']#['sign', 'signal', 'cue']
['合体']#[['がったい']]#4#['&n;', '&vs;']#['union', 'coalescence', 'amalgamation', 'combination', 'alliance', 'annexation', 'incorporation']
['合同']#[['ごうどう']]#4#['&n;', '&vs;', '&adj-no;', '&adj-na;']#['combination', 'union', 'incorporation', 'amalgamation', 'fusion']
['合本']#[['がっぽん']]#4#['&n;', '&vs;']#['collection in one volume']
['合力']#[['ごうりょく'], ['ごうりき'], ['こうりょく']]#4#['&n;', '&vs;']#['resultant force']
['合祀']#[['ごうし']]#4#['&n;', '&vs;']#['enshrining together']
['合衾']#[['ごうきん']]#4#['&n;', '&vs;']#['sleeping together']
['黒くする']#[['くろくする']]#4#['&exp;', '&vs-i;']#['to blacken']
['黒ずむ']#[['くろずむ']]#4#['&v5m;', '&vi;']#['to blacken', 'to darken']
['黒ばむ']#[['くろばむ']]#4#['&v5m;', '&vi;']#['to blacken', 'to become black']
['黒まる']#[['くろまる']]#4#['&v5r;', '&vi;']#['to blacken', 'to become black']
['黒める']#[['くろめる']]#4#['&v1;', '&vt;']#['to blacken (something)', 'to make something black']
['黒光り']#[['くろびかり']]#4#['&n;', '&vs;']#['black lustre', 'black luster']
['菜食']#[['さいしょく']]#4#['&n;', '&vs;', '&adj-no;']#['vegetable diet']
['有る']#[['ある']]#4#['&v5r-i;', '&vi;']#['to be', 'to exist', 'to live']
['作り出す']#[['つくりだす']]#4#['&v5s;', '&vt;']#['to manufacture', 'to produce', 'to raise (crops)']
['作り上げる']#[['つくりあげる']]#4#['&v1;', '&vt;']#['to build up', 'to complete', 'to construct', 'to create', 'to put together']
['作り立てる']#[['つくりたてる']]#4#['&v1;', '&vt;']#['to adorn', 'to decorate', 'to dress up', 'to build up']
['作歌']#[['さっか']]#4#['&n;', '&vs;']#['writing songs or poems', 'poem']
['作業']#[['さぎょう']]#4#['&n;', '&vs;']#['work', 'operation', 'manufacturing', 'fatigue duty']
['作図']#[['さくず']]#4#['&n;', '&vs;']#['drawing a figure', 'drawing a diagram']
['作動']#[['さどう']]#4#['&n;', '&vs;']#['operation', 'functioning', 'running']
['作文']#[['さくぶん']]#4#['&n;', '&vs;']#['writing (an essay, prose, etc.)', 'composition']
['作用']#[['さよう']]#4#['&n;', '&vs;']#['action', 'operation', 'effect', 'function']
['三思']#[['さんし']]#4#['&n;', '&vs;']#['deep reflection']
['三乗']#[['さんじょう']]#4#['&n;', '&vs;']#['cube', 'third power']
['産出']#[['さんしゅつ']]#4#['&n;', '&vs;']#['production', 'output', 'turning out']
['仕える']#[['つかえる']]#4#['&v1;', '&vi;']#['to serve', 'to work for', 'to attend']
['仕る']#[['つかまつる']]#4#['&v5r;', '&vi;']#['to serve', 'to do']
['し始める']#[['しはじめる']]#4#['&v1;', '&vt;']#['to begin (doing)', 'to start (doing)']
['仕事']#[['しごと']]#4#['&n;', '&vs;']#['work', 'job', 'labor', 'labour', 'business', 'task', 'assignment', 'occupation', 'employment']
['仕上がる']#[['しあがる']]#4#['&v5r;', '&vi;']#['to be finished', 'to be completed', 'to be done']
['仕上げる']#[['しあげる']]#4#['&v1;', '&vt;']#['to finish up', 'to complete', 'to finish off', 'to get through', 'to polish off']
['仕切る']#[['しきる']]#4#['&v5r;', '&vt;']#['to partition', 'to divide', 'to mark off']
['仕送り']#[['しおくり']]#4#['&n;', '&vs;']#['allowance', 'remittance', 'sending (someone) an allowance']
['仕入れる']#[['しいれる']]#4#['&v1;', '&vt;']#['to lay in stock', 'to replenish stock', 'to procure']
['仕立てる']#[['したてる']]#4#['&v1;', '&vt;']#['to tailor', 'to make (clothing)']
['使いこなす']#[['つかいこなす']]#4#['&v5s;', '&vt;']#['to handle (men)', 'to master (a tool)', 'to manage', 'to acquire a command of (a language)']
['使いすぎる']#[['つかいすぎる']]#4#['&v1;']#['to use excessively', 'to use too much', 'to spend too much', 'to overwork someone']
['使い古す']#[['つかいふるす']]#4#['&v5s;', '&vt;']#['to wear out (something)']
['使い切る']#[['つかいきる']]#4#['&v5r;', '&vt;']#['to use up', 'to exhaust', 'to wear out']
['使い分け']#[['つかいわけ']]#4#['&n;', '&vs;']#['proper use', 'using (different things) for different purposes']
['使い分ける']#[['つかいわける']]#4#['&v1;', '&vt;']#['to use properly', 'to use (different things) for different purposes']
['使い立て']#[['つかいだて']]#4#['&n;', '&vs;']#['causing you trouble']
['使う']#[['つかう']]#4#['&v5u;', '&vt;']#['to use (a thing, method, etc.)', 'to make use of', 'to put to use']
['使用']#[['しよう']]#4#['&n;', '&vs;']#['use', 'application', 'employment', 'utilization', 'utilisation']
['使嗾']#[['しそう'], ['しぞく']]#4#['&n;', '&vs;']#['instigation']
['始まる']#[['はじまる']]#4#['&v5r;', '&vi;']#['to begin', 'to start', 'to commence']
['始める']#[['はじめる']]#4#['&v1;', '&vt;']#['to start', 'to begin', 'to commence', 'to initiate', 'to originate']
['始業']#[['しぎょう']]#4#['&n;', '&vs;']#['start of work', 'commencement', 'opening']
['始動']#[['しどう']]#4#['&n;', '&vs;']#['starting (machine, engine, car, etc.)', 'activation']
['思いとどまる']#[['おもいとどまる']]#4#['&v5r;', '&vt;']#['to give up (a plan or idea)', 'to desist from (doing)']
['思い出す']#[['おもいだす']]#4#['&v5s;', '&vt;']#['to recall', 'to remember', 'to recollect']
['思い上がる']#[['おもいあがる']]#4#['&v5r;', '&vi;']#['to be conceited']
['思い切る']#[['おもいきる']]#4#['&v5r;', '&vt;']#['to give up all thoughts of', 'to abandon', 'to despair of']
['思い知る']#[['おもいしる']]#4#['&v5r;', '&vt;']#['to realize', 'to realise']
['思い入れ']#[['おもいいれ']]#4#['&n;', '&vs;']#['emotional attachment']
['思い立つ']#[['おもいたつ']]#4#['&v5t;', '&vt;']#[\"to set one's mind on doing\", 'to get the idea of doing', \"to make up one's mind\"]
['思える']#[['おもえる']]#4#['&v1;']#['to seem', 'to appear likely']
['思われる']#[['おもわれる']]#4#['&v1;']#['to seem', 'to appear']
['思考']#[['しこう']]#4#['&n;', '&vs;', '&adj-no;']#['thought', 'consideration', 'thinking']
['止す']#[['よす']]#4#['&v5s;', '&vt;']#['to cease', 'to desist', 'to cut it out', 'to lay off (an activity)', 'to drop (a subject) to abolish', 'to resign', 'to give up']
['止まる']#[['とまる']]#4#['&v5r;', '&vi;']#['to stop (moving)', 'to come to a stop']
['止む']#[['やむ']]#4#['&v5m;', '&vi;']#['to cease', 'to stop', 'to be over']
['止める']#[['とめる']]#4#['&v1;', '&vt;']#['to stop', 'to turn off']
['止める']#[['やめる']]#4#['&v1;', '&vt;']#['to stop (an activity)', 'to cease', 'to discontinue', 'to end', 'to quit']
['死ぬ']#[['しぬ']]#4#['&v5n;', '&vn;', '&vi;']#['to die', 'to pass away']
['死去']#[['しきょ']]#4#['&n;', '&vs;']#['death']
['死産']#[['しざん'], ['しさん']]#4#['&n;', '&vs;', '&adj-no;']#['stillbirth']
['死別']#[['しべつ']]#4#['&n;', '&vs;']#['bereavement']
['私通']#[['しつう']]#4#['&n;', '&vs;']#['adultery', 'illicit intercourse']
['私有']#[['しゆう']]#4#['&n;', '&vs;', '&adj-no;']#['private ownership']
['私用']#[['しよう']]#4#['&n;', '&vs;', '&adj-no;']#['personal use', 'private use']
['試す']#[['ためす']]#4#['&v5s;', '&vt;']#['to attempt', 'to test', 'to try out']
['試みる']#[['こころみる']]#4#['&v1;', '&vt;']#['to try', 'to attempt', 'to have a go (at something)']
['試運転']#[['しうんてん']]#4#['&n;', '&vs;']#['trial run', 'test run']
['試験']#[['しけん']]#4#['&n;', '&vs;']#['examination', 'exam', 'test']
['試験勉強']#[['しけんべんきょう']]#4#['&n;', '&vs;']#['studying for a test']
['試行']#[['しこう']]#4#['&n;', '&vs;']#['making an attempt', 'trial run']
['試合']#[['しあい']]#4#['&n;', '&vs;']#['match', 'game', 'bout', 'contest']
['試作']#[['しさく']]#4#['&n;', '&vs;']#['trial manufacture', 'experiment', 'test piece', 'prototype']
['試写']#[['ししゃ']]#4#['&n;', '&vs;']#['preview', 'private showing']
['試食']#[['ししょく']]#4#['&n;', '&vs;']#['sampling food', 'tasting', 'trying']
['試着']#[['しちゃく']]#4#['&n;', '&vs;']#['trying on clothes']
['試問']#[['しもん']]#4#['&n;', '&vs;']#['interview', 'examination', 'question']
['試用']#[['しよう']]#4#['&n;', '&vs;']#['trial', 'experimental use']
['ことを好む']#[['ことをこのむ']]#4#['&exp;', '&v5m;']#['to revel in trouble and discord', 'to be bent on making trouble', 'to like starting fights']
['事切れる']#[['こときれる']]#4#['&v1;', '&vi;']#[\"to breathe one's last\", 'to pass away', 'to die', 'to expire']
['事足りる']#[['ことたりる']]#4#['&v1;', '&vi;']#['to suffice', 'to serve the purpose', 'to be satisfied']
['事足る']#[['ことたる']]#4#['&v5r;', '&vi;']#['to suffice', 'to serve the purpose', 'to be satisfied']
['事立てる']#[['ことだてる']]#4#['&v1;']#['to do something different', 'to make a big thing of']
['持ち運ぶ']#[['もちはこぶ']]#4#['&v5b;', '&vt;']#['to carry', 'to bring (to a place)']
['持ち回る']#[['もちまわる']]#4#['&v5r;', '&vt;']#['to carry about']
['持ちかける']#[['もちかける']]#4#['&v1;', '&vt;']#['to offer (a suggestion, etc.)', 'to propose (an idea, etc.)', 'to approach with (a proposal, etc.)']
['持ち去る']#[['もちさる']]#4#['&v5r;']#['to take away', 'to carry away']
['持ち古す']#[['もちふるす']]#4#['&v5s;', '&vt;']#['to have long in use']
['持ち合わせる']#[['もちあわせる']]#4#['&v1;', '&vt;']#['to happen to have on hand or in stock']
['持ち出す']#[['もちだす']]#4#['&v5s;', '&vt;']#['to take out', 'to carry out', 'to bring out from where it belongs']
['持ち上げる']#[['もちあげる']]#4#['&v1;', '&vt;']#['to elevate', 'to raise', 'to lift up']
['持ち切る']#[['もちきる']]#4#['&v5r;', '&vi;']#['to hold all the while', 'to talk about nothing but']
['持ち歩く']#[['もちあるく']]#4#['&v5k;', '&vt;']#['to carry around', \"to carry on one's person\"]
['持っていく']#[['もっていく'], ['もってゆく']]#4#['&exp;', '&v5k-s;']#['to take', 'to carry (something) away', 'to bear']
['持ってくる']#[['もってくる']]#4#['&exp;', '&vk;']#['to bring', 'to take (something) along', 'to fetch', 'to get']
['持つ']#[['もつ']]#4#['&v5t;', '&vt;']#[\"to hold (in one's hand)\", 'to take', 'to carry']
['持てる']#[['もてる']]#4#['&v1;', '&vi;']#['to be able to possess (hold, get, etc.)']
['持てはやす']#[['もてはやす']]#4#['&v5s;', '&vt;']#['to praise extravagantly', 'to lionize', 'to lionise', 'to make much of']
['持ち上がる']#[['もちあがる']]#4#['&v5r;', '&vi;']#['to be lifted', 'to be raised', 'to rise', 'to go up']
['耳を貸す']#[['みみをかす']]#4#['&exp;', '&v5s;']#['to lend an ear to', 'to listen to']
['自家撞着']#[['じかどうちゃく']]#4#['&n;', '&vs;']#['self-contradiction']
['自惚れる']#[['うぬぼれる']]#4#['&v1;', '&vi;']#['to be conceited']
['自作']#[['じさく']]#4#['&n;', '&vs;', '&adj-no;']#[\"one's own work\", 'making by oneself']
['自主']#[['じしゅ']]#4#['&n;', '&vs;']#['independence', 'autonomy', 'self-reliance']
['自首']#[['じしゅ']]#4#['&n;', '&vs;']#['surrender (to the authorities)', 'giving oneself up', 'turning oneself in']
['自習']#[['じしゅう']]#4#['&n;', '&vs;']#['self-study', 'teaching oneself']
['自重']#[['じちょう']]#4#['&n;', '&vs;']#['self-respect']
['自転']#[['じてん']]#4#['&n;', '&vs;']#['rotation (usu. on an axis)', 'turning', 'spin']
['自転車を漕ぐ']#[['じてんしゃをこぐ']]#4#['&exp;', '&v5g;']#['to pedal a bike']
['自白']#[['じはく']]#4#['&n;', '&vs;']#['confession', 'acknowledgement', 'acknowledgment']
['自立']#[['じりつ']]#4#['&n;', '&vs;', '&adj-no;']#['independence', 'self-reliance']
['自嘲']#[['じちょう']]#4#['&n;', '&vs;']#['self-deprecation', 'self-derision', 'self-mockery', 'laughing at oneself']
['七転び八起き']#[['ななころびやおき'], ['しちてんはっき']]#4#['&n;', '&vs;']#['not giving up', 'keeping at it until one succeeds', {'_': 'falling seven times, getting up eight times', '$': {'g_type': 'lit'}}]
['質す']#[['ただす']]#4#['&v5s;', '&vt;']#['to enquire of someone about something (inquire)', 'to question']
['質問']#[['しつもん']]#4#['&n;', '&vs;', '&adj-no;']#['question', 'inquiry', 'enquiry']
['写る']#[['うつる']]#4#['&v5r;', '&vi;']#['to be photographed', 'to be projected']
['写生']#[['しゃせい']]#4#['&n;', '&vs;']#['sketching', 'drawing from nature', 'portrayal', 'description']
['借りる']#[['かりる']]#4#['&v1;', '&vt;']#['to borrow', 'to have a loan']
['借り集める']#[['かりあつめる']]#4#['&v1;']#['to borrow money', 'to call for loans']
['借り住まい']#[['かりずまい']]#4#['&n;', '&vs;']#['living in rented quarters', 'rented house']
['借り出す']#[['かりだす']]#4#['&v5s;', '&vt;']#['to borrow', 'to take out']
['借り上げる']#[['かりあげる']]#4#['&v1;', '&vt;']#['to hire', 'to lease', 'to requisition', 'to charter']
['借り切る']#[['かりきる']]#4#['&v5r;', '&vt;']#['to hire for exclusive use', 'to reserve', 'to charter']
['借り入れ']#[['かりいれ']]#4#['&n;', '&vs;']#['borrowing (money)']
['借り入れる']#[['かりいれる']]#4#['&v1;', '&vt;']#['to borrow', 'to rent', 'to lease', 'to charter']
['借る']#[['かる']]#4#['&v5r;', '&vt;']#['to borrow', 'to have a loan']
['借金']#[['しゃっきん']]#4#['&n;', '&vs;']#['debt', 'loan', 'liabilities', 'borrowing money']
['借地']#[['しゃくち']]#4#['&n;', '&vs;']#['leased land']
['借用']#[['しゃくよう']]#4#['&n;', '&vs;']#['borrowing', 'loan']
['弱くする']#[['よわくする']]#4#['&exp;', '&vs-i;']#['to turn down (heat, sound, etc.)']
['弱まる']#[['よわまる']]#4#['&v5r;', '&vi;']#['to abate', 'to weaken', 'to be emaciated', 'to be dejected', 'to be perplexed']
['弱める']#[['よわめる']]#4#['&v1;', '&vt;']#['to weaken']
['弱り切る']#[['よわりきる']]#4#['&v5r;', '&vi;']#['to faint', 'to be exhausted']
['弱る']#[['よわる']]#4#['&v5r;', '&vi;']#['to weaken', 'to grow weak', 'to wane', \"to decline (of one's health)\"]
['弱音をはく']#[['よわねをはく']]#4#['&exp;', '&v5k;']#['to whine', 'to make feeble complaints']
['手を切る']#[['てをきる']]#4#['&exp;', '&v5r;']#['to cut off (a relationship)']
['手習い']#[['てならい']]#4#['&n;', '&vs;']#['practice writing with a brush']
['手料理']#[['てりょうり']]#4#['&n;', '&vs;']#['home cooking']
['首にする']#[['くびにする'], ['クビにする']]#4#['&exp;', '&vs-i;']#['to fire from a job']
['首をかしげる']#[['くびをかしげる']]#4#['&exp;', '&v1;']#[\"to incline one's head to the side (in doubt)\", \"to tilt one's head to the side (in confusion)\", 'to be puzzled']
['首を切る']#[['くびをきる']]#4#['&exp;', '&v5r;']#['to fire from a job', 'to dismiss', 'to discharge']
['首を長くする']#[['くびをながくする'], ['クビをながくする']]#4#['&exp;', '&vs-i;']#['to eagerly look forward to']
['首吊り']#[['くびつり']]#4#['&n;', '&vs;']#['hanging (by the neck)']
['終える']#[['おえる']]#4#['&v1;', '&vt;', '&aux-v;']#['to finish']
['終業']#[['しゅうぎょう']]#4#['&n;', '&vs;']#['end of work day']
['終止']#[['しゅうし']]#4#['&n;', '&vs;']#['termination', 'cessation', 'stop']
['習う']#[['ならう']]#4#['&v5u;', '&vt;']#['to take lessons in', 'to be taught', 'to learn (from a teacher)', 'to study (under a teacher)', 'to get training in']
['集う']#[['つどう']]#4#['&v5u;', '&vi;']#['to meet', 'to assemble', 'to congregate']
['集まる']#[['あつまる']]#4#['&v5r;', '&vi;']#['to gather', 'to collect', 'to assemble']
['集める']#[['あつめる']]#4#['&v1;', '&vt;']#['to collect', 'to assemble', 'to gather']
['集る']#[['たかる']]#4#['&v5r;', '&vi;']#['to gather', 'to crowd round', 'to swarm', 'to flock']
['集会']#[['しゅうかい']]#4#['&n;', '&vs;']#['meeting', 'assembly', 'gathering', 'congregation', 'convention', 'rally']
['集金']#[['しゅうきん']]#4#['&n;', '&vs;']#['money collection']
['集計']#[['しゅうけい']]#4#['&n;', '&vs;']#['totalization', 'totalisation', 'aggregation', 'tally (e.g. of votes)', 'adding up', 'summing up']
['集光']#[['しゅうこう']]#4#['&n;', '&vs;']#['concentration (of light, e.g. with lens or mirror)', 'condensation', 'condensing']
['集合']#[['しゅうごう']]#4#['&n;', '&vs;']#['meeting up', 'gathering', 'assembly']
['集中']#[['しゅうちゅう']]#4#['&n;', '&vs;']#['concentration', 'focusing', 'convergence', 'centralization', 'integration', 'gathering together']
